,message,label
801268,my depression:  https://twitter.com/kanyewest/status/989142253468708864Â â¦,1
801269,"Social support, rest, ritual, food, storytelling, and touch are all common among cultural practices for #postpartum #depression. F Parks #GOLDQuotes #PPD #PPMAD #maternalhealth",1
801270,"A fat ass won't help u keep a man. Get ahead in ur career, unless ur a stripper. It won't help ur depression, save ur friendships. Chile.",1
801271,"The Home Office rejected and rejected and rejected...I entered a phase of total depression...We told them all this in 2014! Why didn't they listen? Sam, 41 years in the UK from Sierra Leone #HostileEnvironment #LegalAid #IndependentReview #migrantvoices https://www.theguardian.com/commentisfree/2018/apr/25/windrush-scandal-immigration-legal-aidÂ â¦",1
801272,fren: i have depressionme: have u been diagnosed?fren: i know i have depressionme: yea but have u been diagnosed??fren: no but i know i dome: how do u knowfren: bECAUSE *tears up* IM JUST SO SAD ALL THE TIME AND MY LIFE SUCKS *fake weeping sounds*,1
801273,Bring on the post festival depression <Emoji: Sign of the horns (light skin tone)>,1
801274,Any more 'winning' and we'll have a economic depression by noon.  https://twitter.com/Vox_Democracy/status/989165030263410689Â â¦,1
801275,"This smile cured my depression. <Emoji: Heavy red heart><Emoji: Kissing face with closed eyes>See you, minseokie! <Emoji: Face throwing a kiss>#ctto#ManilaLovesXiumin#ElyXiOnInManila @weareoneEXO <Emoji: Two hearts> pic.twitter.com/JRIuAbxx0g",1
801276,Im gonna from this depression #infinitywar,1
801277,"@IAmJeffEmmerson We all have loved ones who suffer from depression, anxiety. How do we help our loved ones when the medical community makes it difficult. Do you know how difficult it is to get a mental health professional through the current channels?",1
801278,"Cross the line if you're sick of people faking anxiety, OCD, and depression/suicidal thoughts or actions for attention.",1
801279,"New study co-authored by Dr Brendon Stubbs @KingsIoPPN has found physical activity can protect against the emergence of #depression, regardless of age and geographical region: @KingsCollegeLon @Telegraph #therapy #therapyonline  https://www.telegraph.co.uk/science/2018/04/24/exercising-20-minutes-a-day-cuts-risk-developing-depression/Â â¦ https://twitter.com/NIHRMaudsleyBRC/status/989014977657876481Â â¦",1
801280,Depression. Anxiety. Stress <Emoji: Face with cold sweat><Emoji: Face with cold sweat><Emoji: Face with cold sweat><Emoji: Loudly crying face><Emoji: Loudly crying face><Emoji: Loudly crying face><Emoji: Loudly crying face><Emoji: Loudly crying face>,1
801281,in a threesome with anxiety and depression,1
801282,Is sleep deprivation affecting your health?  http://restyledliving.com/not-getting-enough-sleep-it-could-be-affecting-your-health/Â â¦ #sleep #sleepdeprivation #health #WednesdayWisdom #insomnia #aging #depression #heartdisease pic.twitter.com/F6Q3D1MQ5l,1
801283,Been a little quiet again since last weekends awesome workshop. Also a little blue (depressionâ¦  https://www.instagram.com/p/Bh_6Cd2lA93/Â ,1
801284,"@nerdy_passion Bullcrap you don't miss us. Do you know how much trouble you caused? You caused the server to die and caused me to go into spiraling depression, came into my house and accused me of crap I didn't do to you, etc. Never contact me after this.",1
801285,"Just did 50 burpees. You know how long it's been!? <Emoji: Person raising both hands in celebration (medium light skin tone)><Emoji: Up pointing index (medium light skin tone)><Emoji: Fisted hand sign (medium light skin tone)>Depression is a catch 22. Exercise helps, but you have no desire to do it. It takes everything and more to get to the gym... and then to actually do something.",1
801286,How exercising can slash the risk of depression  https://nyp.st/2vGw2KqÂ  via @nypost,1
801287,Don't over work self there's anxiety that leads to depression and we don't want that.,1
801288,"Dear ladies with crippling depression, have you tried smiling? A random man stopped me to tell me so it must be the solution <Emoji: Smiling face with smiling eyes>",1
801289,The #Grief Exception Is grieving the same as #depression? Should it be treated the same? DSM changes:  http://wp.me/p34SkM-3vfÂ  #diagnosis,1
801290,this movie just worsened my depression tbh :) i wanna die :)  pic.twitter.com/fygUwhvYNh,1
801291,Join this twitter chat on teen depression on May 3rd in observance of #mentalhealthawarenessmonth. https://twitter.com/NEDAstaff/status/989145614050037760Â â¦,1
801292,Depression  https://twitter.com/cyn_santana/status/989161090616643585Â â¦,1
801293,Depression is a ugly beast,1
801294,puzzle mv removed my depression,1
801295,"What will happen if I fall into depression, the fear of fear, the anxiety of anxiety - drop this idea and your death and your void consuming your life will disappear. Like water being absorbed into wood can break the largest stone into pieces, this idea can break your mind <Emoji: Brain>.",1
801296,Study shows HRV testing can differentiate between bipolar disorder and major depression.  http://bit.ly/2FhgNYSÂ  pic.twitter.com/r726xud64W,1
801297,Depression real deal hits yo ass outta nowhere. It can sometimes come mid laugh when you wit yo friends. Or when you In the middle of writing notes in class. That shit sucks son.,1
801298,"Depression can't be cured though so, what next?  https://twitter.com/ayanatheoracle/status/988861135142248449Â â¦",1
801299,Dating Someone with Depression  http://business.labviral.com/2017/11/09/dating-someone-with-depression/Â â¦,1
801300,the great depression prolly the best album for me to listen to right now,1
801301,"#ë°ë´ì ë°ë´ë²ë ¤ëì¸ì its been 4 years since people started hating Bom for taking medicines for her depression, you cant compare her to a serial killer she was doing nothing but taking care of her mental health!!! She did nothing wrong",1
801302,god why do i have reverse seasonal depression i get worse when it starts getting warmer  https://twitter.com/j_conl/status/988909063227543554Â â¦,1
801303,"Living with a bleeding disorder can be challenging, causing isolation and feelings of hopelessness. Finding solace with those who understand what you are going through is paramount. Join the discussion about dealing with #depression on MyHemophiliaTeam: https://www.myhemophiliateam.com/resources/depression-and-hemophilia?utm_source=FBsocial&utm_medium=PopularHemoDepression&utm_campaign=PopularHemoDepressionÂ â¦",1
801304,"Over the years, our #mentalhealth expert has seen 100s of patients who suffer from #PND  & has been asked some questions frequently by patients and their relatives. Through this post, he is trying to answer some of those questions:  http://bit.ly/2vJGpgvÂ  #Postnatal #Depression  pic.twitter.com/6EjoawQtnk",1
801305,"Themes revolved around tragedy, death, anxiety, depression, suicide, tough relationships, and other issues that are so very relevant, so very current.",1
801306,Online Mindfulness Therapy via Skype for Anxiety & Depression. Inquiries welcome!  https://ift.tt/2CSUvLBÂ ,1
801307,"Having been in the PL & not involved in my lifetime, I've just been watching highlights of every Championship play off final game since 2005. And my god, the reward for winning is total ecstasy, the price for losing is suicidal depression, can't wait. <Emoji: Upside-down face>(If we get there) UTV",1
801308,I want everybody to take depression out of their vocabulary,1
801309,"#LatestNews from  http://MobileWebCity.comÂ  : Negative thoughts and destructive emotions can bring pain, unhappiness, depression and misery into our lives.  https://ift.tt/2nb1WKmÂ  addresses the pendemic issues ... pic.twitter.com/z3vZigSEaa",1
801310,"#LatestNews from  http://MobileWebCity.comÂ  : More than 60 million Americans are affected by sleeping disorder, suggests   https://ift.tt/2nEh1PXÂ  chronic insomnia and sleeping disorder could lead to many physical and mental health problems such as depression, ...  pic.twitter.com/kQ6tJJcPi4",1
801311,I'm sad and don't know why. Assuming depression is deciding to kick my teeth in like an asshole.,1
801312,WHAT WE DO: Develop therapeutic processes #MentalHealth #ADHD #Stress #Depression #PTSD #SelfEsteem #FamilyConflicts #Counseling #BiPolar #Therapy #ReTweet #FollowUs #Decatur #Atlanta #Georgia,1
801313,What is Depression? Simple! I am à¤®à¥ me me me me! And à¤ªà¥à¤°à¤¾à¤£ down. Not taking in breath but out breath high. Depresssssed.  pic.twitter.com/58NtKquTiR,1
801314,My girlfriend's dog always looks like she's suffering from severe depression and boy can I relate.  pic.twitter.com/U6ZoE0Rgq3,1
801315,Depression is no jokePlease help those in need  https://www.facebook.com/kavinduhp/posts/10204373831102704Â â¦,1
801316,Could 'one puff' of cannabis ease depression?  https://www.medicalnewstoday.com/articles/321589.php?utm_source=dlvr.it&utm_medium=twitterÂ â¦,1
801317,You only need two close friends in which you can trust and dedicate yourself to. Having too many friends can lead to depression and stress.,1
801318,"@hunterrgarrett @WRXNickA This is why I hate the belief that anxiety or depression push people to create better content.. Obvi the stuff you make is going to reflect your feelings & expiriences, but if anything mental demons make you doubt every little detail of your work.. Support your homies <Emoji: Purple heart>",1
801319,The Social Epidemic That Doubles Depression And Anxiety Risk  https://www.spring.org.uk/2018/04/epidemic-doubles-depression.phpÂ â¦,1
801320,@Eclipsed23 //Thanks... I have been neglecting my health due to depression and stress... Dont brush my teeth... Shower... That kind of stuff...,1
801321,@ShirishKunder @aranjan2012 @Kshitishsc @SanghiWalker @GaganJass141 Troll Gagan ! I can understand the frustration you are going through.  But my concern is your frustration will continue till 2024 now - Modi will be back ! Please consult a good doctor for depression which you might get into after General elections next year !!,1
801322,"WHAT WE DO: Help individuals define goals, plan action and gain insight #MentalHealth #ADHD #Stress #Depression #PTSD #SelfEsteem #FamilyConflicts #Counseling #BiPolar #Therapy #ReTweet #FollowUs #Decatur #Atlanta #Georgia",1
801323,"This book tackles subjects like grief, depression, anxiety, first love and first heartbreak. It is extremely hard to write at times, but it feels incredibly worthwhile. #amwriting #YA #ownvoices #HawkFalls",1
801324,"If you think religion and spirituality are scams, plz find a good way to cope w your depression and other illnesses cus often that's what spiritually helps ppl do. Don't be one of those ppl that complain all day but you're miserable.",1
801325,me waking up from an 8 hour depression nap:  pic.twitter.com/lkz3KZqCw9,1
801326,#PhysicalActivity protects against #depression onset:  https://goo.gl/xSwSLGÂ  @AmJPsychiatry pic.twitter.com/4JyT3wpVVi,1
801327,"Just one puff of cannabis 'could ease depression, stress and anxiety'  https://www.thesun.co.uk/news/6137739/cannabis-ease-depression-stress-anxiety/Â â¦ #cannabis",1
801328,1/2 People loose interest in every thing ... that's the case with many of the global population ... they don't have a focus or a goal that they are devoted to and neither are they 'INTERESTED VOLUNTARILY' in doing so. So people are left with either a boring life with depression,1
801329,Queen just cured my depression.  https://twitter.com/cupcakke_rapper/status/989157670706995200Â â¦,1
801330,@FranciscoLWhite I'm actually one of the lucky ones. My boss and co workers are very mental health positive with a 'take care of you first' attitude to everything. I work as a support technician at a children's hospital and I have PTSD and constantly battling depression and Anxiety.,1
801331,WHAT WE DO: Encourage individuals to discuss emotions and past experiences #MentalHealth #ADHD #Stress #Depression #PTSD #SelfEsteem #FamilyConflicts #Counseling #BiPolar #Therapy #ReTweet #FollowUs #Decatur #Atlanta #Georgia,1
801332,"Ion think I'll ever forget my mom telling me depression is for the weak, no wonder she refused to let me see a therapist <Emoji: Upside-down face>",1
801333,Depression affects us all but for some it could be overwhelming.  http://qoo.ly/nxagjÂ ,1
801334,@craig_ireton They should be more emotional!!Men repress emotions more to appear 'masculine' which is super damaging hence gender variation rates in suicide and depression diagnosis x fight me x,1
801335,"Lisa Hoffman Lamanna, RLCSW âPsychotherapist and Health Coach at Roots Health & Wellness ~ I provide both mental and health services with specialization in Nutrition and Wellness, Depression and Relationship Issues.  http://bit.ly/2xdfXLAÂ  pic.twitter.com/HQICYy7mPC",1
801336,@Medscape Higher Rates of Depression in Sexual Minority Youth  https://www.medscape.com/viewarticle/895658?nlid=121981_4562&src=wnl_dne_180425_mscpedit&uac=83396HN&impID=1616018&faf=1?src=soc_tw_shareÂ â¦ via @medscape,1
801337,Ketamine Shows Promise for Fast Relief of Depression  http://ow.ly/oS3m30jxuWuÂ ,1
801338,"@PaulPester @TSB @paulpester I cannot shop online, I can not use card in atm, I cannot get through to telephone banking for 3 days now. I have history of mental illness and you have now triggered massive depression again. This needs massive legal action",1
801339,28 Unexpected Coping Techniques for People Who Recently Attempted #Suicide https://themighty.com/2018/04/just-attempted-suicide-what-to-do/Â â¦ #chronicallysick #chronicpain #depression #mentalhealth #chronicillness,1
801340,"@benshapiro @KyleDFranklin @Missy__Jen @cparksaffluent @YohannaMueller1 They have, and over the last roughly 150+ years we've engineered grains to have higher yields, which has drastically increased the gluten leavers in them and has caused a myriad of inflation related problems. Grains are directly linked to depression also.",1
801341,RT @420weedin: Could 'one puff' of cannabis ease depression? #marijuana #cannabis http://bit.ly/2HNEtbSÂ ,1
801342,More than 1 in 20 US children and teens have anxiety or depression  https://www.sciencedaily.com/releases/2018/04/180424184119.htmÂ â¦,1
801343,starting with a big one: The top leading cause of dug abuse and alochol abuse is depression. It's easy to get into them when your battling a fight that's hard to overcome. Regardless of the reason it's none of your business anyways so why are people stating their rude ass comment,1
801344,{ I'll barely be here. Depression.,1
801345,my shoes have wheels because the depression doesn't stop,1
801346,Post-show depression for The Addams Family has been weird and sporadic and my weak heart can't take it so here's some pictures from the show again  pic.twitter.com/SXdIoWjzUP,1
801347,LE Smith Amber Moon & Stars Heritage Depression Glass Compote  by FabulousFinds1   https://etsy.me/2HZeeg7Â  via @Etsy,1
801348,"@HarvardBiz Very true in most cases managers misread the signals / symptoms as depression or other, also requires managers that understand their teams in terms people management. Very informative article, <Emoji: Person with folded hands>.",1
801349,I added a video to a @YouTube playlist  http://youtu.be/kFXvMul_N40?aÂ  Vines that could cure depression #8,1
801350,"@TasnimaKTastic @ShafaYahya Shafa, not bein insensitive to it however, every speech needn't be on the same topic. There's a place n time for it n show me 1 person who doesnt go through depression in today's times? We dont scream bout it? Importance of mental health shd be highlighted bt not in every forum",1
801351,Great to record interview with @LomasChar yesterday for @SkyNews & discuss our research in @AmJPsychiatry showing protective effects of PA from depression in our international study  https://ajp.psychiatryonline.org/toc/ajp/0/0#/doi/full/10.1176/appi.ajp.2018.17111194Â â¦ @exerciseworks @NIHRMaudsleyBRC @MindCharity @Sport_England @KingsIoPPN https://twitter.com/skynews/status/989149289833271296Â â¦,1
801352,The Social Epidemic That Doubles Depression And Anxiety Risk  https://ift.tt/2FdyZlbÂ  via PsyBlog,1
801353,#2018goals :<Emoji: Fisted hand sign>fight my depression<Emoji: Woman weight lifting> lose another 53lbs<Emoji: Dancer> do more cardio<Emoji: Flexed biceps> become stronger and tone muscle<Emoji: Bikini> wear a bikini this summer<Emoji: Woman running> run a 5k in October<Emoji: Purple heart> be more loving<Emoji: Direct hit> finish projects<Emoji: No smoking symbol> quit smoking<Emoji: Reversed hand with middle finger extended> prove everyone wrong that ever doubted me!,1
801354,Having a depression is so hard . You need to find a way on how to prevent it . You should not think something negative . And ofc you will having a hard time when you alone . Crying and mad at the same time . Smh,1
801355,More like Depression*  https://twitter.com/avengers/status/988576000349896704Â â¦,1
801356,The Social Epidemic That Doubles Depression And Anxiety Risk  https://ift.tt/2FdyZlbÂ ,1
801357,"All I want is for my kids to be loved!! I don't blame them for my lack of sleep, my irritation, my depression, none of it. I may get frustrated but my children are the only reason I keep going",1
801358,Thuli Madonsela's daughter speaks out about her struggle with depression in heartfelt Facebook post  https://www.w24.co.za/Lifestyle/thuli-madonselas-daughter-speaks-out-about-her-struggle-with-depression-in-heartfelt-facebook-post-20180425Â â¦ pic.twitter.com/Jyr9EoMmCM,1
801359,@Zealous_Larenz @AmbitioVerumEst I'm not a fan of drugs (or plant based solutions) but I'm all for social exercises to combat clinical depression.,1
801360,"Happy #WellnessWednesday! Did you know #massagetherapy can help with symptoms of depression and anxiety, hypertension, and more? Visit our website to read our Research & Resources page and book your next appointment online! #yyc #massagecalgary #yychealth #yychealthyliving #rmt pic.twitter.com/jnSRMbDASU",1
801361,"Happy #WellnessWednesday! <Emoji: Leaf fluttering in wind>#DYK: research indicates that gardening is great for healing #depression, #anxiety, & #PTSD? Plus you get to harvest healing foods that boost your #immunity & #mood!#Antidepressant Microbes In #Soil: How Dirt Makes You Happy  http://www.gardeningknowhow.com/garden-how-to/soil-fertilizers/antidepressant-microbes-soilÂ â¦ pic.twitter.com/ED2nG7dkLl",1
801362,Cool Brain Facts...#LowensteinHouse #Living #Learning #Growing #Recovering #MentalHealth #Health #Brain #CoolBrainFacts Visit us at  http://www.lowensteinhouse.comÂ  #WeCare #mentalhealth #schizophrenia #bipolar #anxiety #depression  pic.twitter.com/Wn9QHnlD4e,1
801363,"Supporting mental illness can't be limited just to depression and anxiety. I wish some of my friends here could have seen me and how I acted pre-treatment. When you make fun of people who have serious mental health issues, you are degrading people you love",1
801364,"And to add My Depression n Bitterness is The Fact The MOST Character I anticipated to watch which is Princess #shuri has So Lil Screen Time. But I Hold ur word Mr. Kevin, Character that has less screen time now will have more on Avengers 4. DO NOT BREAK IT!!!",1
801365,Women struggling to get pregnant have elevated anxiety and depression levels similar to women with heart disease and cancer.  https://www.huffingtonpost.com/entry/opinion-merrill-ivf-failure_us_5adf8637e4b061c0bfa27b19?ncid=engmodushpmg00000004Â â¦ via @HuffPost,1
801366,depression: Gone  https://twitter.com/stray_kids/status/989035166319415296Â â¦,1
801367,My 1st ever tweet. I want to see how far this gets I'm struggling with severe depression at the moment. To look at me you wouldn't think it. Call your friends and family as a face can hide a hidden demon inside I'm getting help but to smile hurts #depression #notsmilingoninside pic.twitter.com/2Gh0H6aViX,1
801368,3 Books You Can Read to Better Understand Depression  https://themighty.com/2018/04/books-to-better-understand-depression/?utm_source=engagement_bar&utm_medium=twitter&utm_campaign=twitter_shareÂ â¦,1
801369,80k in debt vs 40k Happiness vs depression<Emoji: Face with tears of joy><Emoji: Tired face>#collegedecisions2k18,1
801370,"Molestation, Attempted suicide twice , YALL DEPRESSION <Emoji: Loudly crying face>. Do not live your life according to someone else's plan, Don't seek validation from people who mean you no good or don't even truly care about you. Understand that your hardships can not BREAK KILL OR STEAL",1
801371,"@aJackieLarsen @Nemosanartist @postphysicaI depression in college is actually high, in law school the percentage sky rockets, providing a space for overwhelmed students to take a break and cry is actually a really good idea",1
801372,"Almost gave me severe depression and anxiety. Finding this website through my work, and taking the free training course, has changed all that. Take care! https://palousemindfulness.com/Â  https://twitter.com/CuestionMarque/status/989155823015333890Â â¦",1
801373,"Me: Okay, time to get over myself. I'm not spending another day in bed, wallowing in depression.My brian:  pic.twitter.com/Yw1qk3Ar3R",1
801374,I'm gonna go into deep depression if Killary and Obama don't go to prison for life SOON !  https://twitter.com/ThinBlueLR/status/988967121697767424Â â¦,1
801375,@gabrielflorin01 Sis what happened? Depression? <Emoji: Pensive face>,1
801376,Low-functioning depression mode. <Emoji: Woman tipping hand (light skin tone)>,1
801377,so glad winter is finally over. Goodbye seasonal depression <Emoji: Waving hand sign (light skin tone)>Hellooooo normal depression <Emoji: Waving hand sign (light skin tone)>,1
801378,Vintage Anchor Hocking Green Depression Glass Parfait Pudding  by FabulousFinds1   https://etsy.me/2JoKskqÂ  via @Etsy,1
801379,"@NikFTime Something that has always gets me is like, I am currently being forced to go to therapy for depression... because I have a serious illness and being sick is depressing. But doctors treat grief like an intrustive thought that can be medicated away.",1
801380,"At 18 this was me too. The only difference was I didn't have access to drugs, I was on depression and anxiety meds, seeing a lot of counsellors too, because of everything that was going on. But I'm now just turned 21 a day ago and happy.  https://twitter.com/biebosbitch/status/988485758792105984Â â¦",1
801381,"@BethFratesMD That's what I've been trying to build up for a few years. My grad advisor has been one of my best supporters in building up my confidence in psychology. Having somebody else believe in us can be such a healing thing, especially when your mind is poisoned with depression.",1
801382,Curing once depression was not so easy but to ruined once life was so easy this what you like?? PD how devil are you! #ë°ë´ì ë°ë´ë²ë ¤ëì¸ì,1
801383,"@kanyewest G. O. A. T fam,  your page just cured my depression. <Emoji: Face with tears of joy><Emoji: Face with tears of joy><Emoji: Face with tears of joy>",1
801384,"@jmcefalas @BootstrapCook After years of no-appetite/depression I gained weight, came up to 29 BMI. This is a good thing though, as a certain someone refuses to believe I'm overweight so it's shattered their ideas about their own weight.",1
801385,"Exercise lowers risk of depression at all ages, researchers find http://www.cbc.ca/news/health/exercise-depression-prevention-1.4634002Â â¦ pic.twitter.com/kA1jh3TTdj",1
801386,"Exercise lowers risk of depression at all ages, researchers find http://www.cbc.ca/news/health/exercise-depression-prevention-1.4634002Â â¦ pic.twitter.com/ggd7wpulrq",1
801387,"Causes of insomnia:Regret,self blame,overthinking,anger,depressionLonelinessAnd her",1
801388,I have post concert depression. @Camila_Cabello and @bazzi we're so good it was unreal <Emoji: Loudly crying face><Emoji: Heavy red heart><Emoji: Love-you gesture (light skin tone)>,1
801389,Is There a Link Between ADHD and SAD?  http://psy.pub/2EQYvAPÂ  #ADHD #parenting #depression #mentalhealth,1
801390,"Exercise lowers risk of depression at all ages, researchers find http://www.cbc.ca/news/health/exercise-depression-prevention-1.4634002Â â¦ pic.twitter.com/w47mtobsdM",1
801391,@MrsJellySantos They trip me out. Especially the ones that recovered from situational depression and speak out on mental illness as if there aren't many more severe illnesses,1
801392,"It's kinda funny seeing how you react about MH issue when in fact, you are one of the reasons why I've been going through this anxiety/depression.",1
801393,About tear up this scrumptious ass depression sandwich,1
801394,@Panic_Carnival Depression Meal,1
801395,Women who regularly eat high-fat yogurt are less likely to be diagnosed with depression than women who eat the low-fat variety.,1
801396,"@asymmetricinfo @ThePlumLineGS It is almost the definition of anti-capitalist. No, that doesn't mean that it can't be considered as a short term sunsetting fix for a depression. So why would we discuss it now?",1
801397,but like my depression is going bodily and it hurts to sit up so i maybe don't need to be a full fledged college student for a minute lmao,1
801398,well hello depression  pic.twitter.com/kAAilckxtx,1
801399,"When Friends Struggle With Depression, This App Helps Avoid Potentially Harmful Phrases  http://adweek.it/2qY03R6Â ",1
801400,How To Change The Past By Changing Your Thinking  https://buff.ly/2HCNulDÂ  via @dlhampton #depression #MentalHealth pic.twitter.com/b9XZWXOFx9,1
801401,May I remind you pips. Depression is not a joke. And it will never be a joke.,1
801402,"Despite all the success & adulation,the demons were never too far from Marvin's door: DRUG ADDICTION, DEPRESSION, two failed marriages, FINANCIAL RUIN and a fateful and tempestuous relationship with his alcoholic, cross dressing preacher father, pushed Marvin closer to the edge",1
801403,Beginning to realize I only experience depression or mania. I don't know what true joy is.,1
801404,someone in my script analysis class said this yesterday and it's really been irking me because a key point in a lot of people's depression is thinking nobody can love them because they're depressed.,1
801405,sexy girl one piece sex vedio porn flower pornstar white boy fucking black girlfriend no sex depression  pic.twitter.com/uvQWxeZy63,1
801406,A look into my life~                                      written by:depression,1
801407,"Parents, are you concerned that your teenager may have depression? Join @NIMHgov for a Twitter chat on May 3 at 3 PM ET. NIMH experts will be available to answer your questions!  http://bit.ly/2K3W5hJÂ  #NIMHchats pic.twitter.com/lcG9Pg0uua",1
801408,"#MentalHealthAwareness month & Children's Mental Health Week, join @NIMHgov's Twitter chat on teen depression on May 3rd at 3 PM ET. NIMH experts will be answering your questions. #NIMHchats to follow the conversation:  @NEDAstaff  http://bit.ly/2K3W5hJÂ  pic.twitter.com/pEf3EPgVyZ",1
801409,"Are you experiencing hot flashes, irregular periods, sleep disorder, depression,"" and/or irritability? Then you might be entering the """"change of life"""" also known as #menopause. Learn about diagnosis and treatments that can bring great relief to you.  https://www.mayoclinic.org/diseases-conditions/menopause/diagnosis-treatment/drc-20353401Â â¦",1
801410,@doucefeline @WhatASaviour7 @alisawoodard6 @SWantowski @AnitaLea1 @florsunny @redrobin741 @1bramant @LinsonVarughese @blupony3 @bishopdawkins @middlebrookdepe @Ccangelsing @sheila_freda @Blessttt @JackCouch11 @LisaHarlow10 @Jesus_YaHWeH_ @ahmedaniyal @ToddTrotter3 @BelieveAllCom @One_Of_His @endtimeslife @reeves5150 @Sharonrenee15 @JoAnnEileen @Cherami1Sherrie @GregPettys @trinitysfaith @L_Bramant @bailog_cherisse @FlashG_86 @smrutimishra7 @vinodgnair73 @ReginahHope @Twisty58 @doswell_vee @radioshowccc @notjudgin @nhiscare57 @nadiaforjesus @WheatSuzanne @FREEBetsyB @elliesangelwing @mcinnes003 Lord Jesus in Your Powerful Name please remove this mountain of depression off Kieth now and forever that this captive may be set free from this stronghold by the mighty tools of God (2Cor. 10:4-6) THANKYOU Jesus 4 Ur tenderloving care and mercy that endures forever! Amen!,1
801411,@TuckerGoodrich @japantimes Autonomic and emotion regulation in bereavement and depression  https://www.ncbi.nlm.nih.gov/m/pubmed/11943236/?i=4Â â¦,1
801412,I probably won't talk but I'll listen and help him. That's what's gonna make my depression go away.,1
801413,@uNdlunkulu_Xoli Firstly if she is ready and welling to keep the baby let her do so.She has just came out of depression and terminating the pregnancy can lead her straight to back to depression .She needs to take care of her emotional well-being.,1
801414,"@awg_allan @TelegramSam100 @KuiperBelle I've suffered from clinical depression for the majority of my life, so I know a thing or two about it.",1
801415,My depression won't let me work out and be healthy  pic.twitter.com/OuPOJdCmyD,1
801416,"So i would just like to end all my social media, due to the post depression that Infinity War gave me. Move out (joke onli)",1
801417,"@CHSommers @baileyc333 I'm not saying you lie, but I'd really like to see evidence for that statement. Eating disorder is the deadliest mental illness? Not suicidal depression or alcohol-/drug addiction?",1
801418,"Just gonna stay in bed till class, depression just really fucking sucks",1
801419,when ur shitty depression is back. GREAT :D,1
801420,"some people dont know this but cats can get depression, please sing to and walk your cats for best result thank u  pic.twitter.com/fI2Jx3ZZda",1
801421,@Rubberbandits one of yer lads was on with Tommy Tiernan a few months back on about depression & suicide. I know women who have committed suicide after abortion. I considered it. Maybe it is the plastic bags on yer heads that stop ye from seeing reality. In EVERY abortion a child dies.,1
801422,How can depression hurt my ability to manage diabetes?  http://dld.bz/bApHHÂ  #diabetic,1
801423,@ArianaGrande I LOVE U SM BBY NO TEARS LEFT TO CRY IS PURE TO MY DEPRESSION,1
801424,Vintage Pink Depression Glass Cherry Blossom Jeannette Platter by FabulousFinds1   https://etsy.me/2qXAijUÂ  via @Etsy,1
801425,i look super cute today my depression is easing,1
801426,Being sad in cold weather is called seasonal depression. Being sad in hot weather is called a country song.,1
801427,im so tired. like my life is one huge chasm of depression and maybe i should go on priv about this? yeah,1
801428,"So i set a goal of losing as much weight as I can (seeing that I gained so damn much bcuz of depression) by making just food changes. No crazy diet or obsessive working out regimens, just changing the stuff u put in ur mouth",1
801429,i have severe major depression and its not cool basically,1
